name,email,mobile,skills,score
,user@gmail.com,,c,12
uma,uma@gmail.com,1234567890,c,12
uma,uma@gmail.com,1234567890,c,12
uma,uma@gmail.com,1234,"excel,communication,c,marketing,management,ui",60
uma,uma@gmail.com,1234,"excel,communication,c,marketing,management,ui",60
test,test@gmail.com,1234567890,"excel,communication,c,marketing,management,ui",60
test,test@gmail.com,1234567890,"excel,communication,c,marketing,management,ui",60
uma,uma@gmail.com,1234567890,"excel,c,management,ui,marketing,communication",60
uma,uma@gmail.com,876543210,"excel,c,management,ui,marketing,communication",60
rani,rani@gmail.com,1234567890,"excel,c,management,ui,marketing,communication",60
rani,rani@gmail.com,1234567890,"excel,c,management,ui,marketing,communication",60
